t,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
1.266654,1.856786272,1.856869629,1.85691943,1.856995064,0.285811247,0.280599707,0.281293461,0.285811247,0.282982437,0.282982437
1.299987,1.85684859,1.856874023,1.857024225,1.857054186,0.285959852,0.280765622,0.281440201,0.285959852,0.283161402,0.283161402
1.33332,1.856888005,1.856953252,1.857075225,1.85708641,0.28590286,0.280736594,0.281507046,0.28590286,0.283137966,0.283137966
1.366653,1.857001455,1.85702356,1.857300262,1.857251793,0.286054394,0.280857235,0.281707582,0.286054394,0.28322079,0.28322079
1.399986,1.857101058,1.857138608,1.857355922,1.857445671,0.286070373,0.280876676,0.28169906,0.286070373,0.283229312,0.283229312
1.433319,1.857273631,1.857326361,1.857440078,1.857558456,0.286035485,0.280789324,0.281793869,0.286035485,0.283214665,0.283214665
1.466652,1.857482156,1.85755233,1.857542077,1.857706927,0.286067976,0.280829272,0.281712642,0.286067976,0.283264466,0.283264466
1.499985,1.857536085,1.857524234,1.857609056,1.8576261,0.286229097,0.280973349,0.28154433,0.286229097,0.283385374,0.283385374
1.533318,1.857580427,1.857587085,1.857668045,1.857848873,0.286134821,0.280850843,0.281261769,0.286134821,0.283291098,0.283291098
1.566651,1.857640747,1.857711188,1.857787487,1.857937956,0.286214716,0.28091902,0.281263367,0.286214716,0.28343118,0.28343118
1.599984,1.857865784,1.857913588,1.858025707,1.858113325,0.286129495,0.280884932,0.281031139,0.286129495,0.283289766,0.283289766
1.633317,1.857819312,1.857885092,1.85807178,1.858153273,0.285881821,0.280700641,0.2806812,0.285881821,0.283011999,0.283011999
1.66665,1.857905066,1.85794275,1.858155403,1.858199878,0.285821101,0.280817554,0.280641519,0.285821101,0.28298803,0.28298803
1.699983,1.857990021,1.858088824,1.858175909,1.858292689,0.285802459,0.280760029,0.280705435,0.285802459,0.282958735,0.282958735
1.733316,1.858136495,1.85813463,1.858313595,1.858305605,0.285687943,0.280606099,0.280709163,0.285687943,0.282818653,0.282818653
1.766649,1.858225844,1.858285898,1.858435568,1.858465661,0.285625092,0.280534726,0.280669748,0.285625092,0.282783233,0.282783233
1.799982,1.858238227,1.858316258,1.858478977,1.858524784,0.285651191,0.280554433,0.280707033,0.285651191,0.282788027,0.282788027
1.833315,1.858244619,1.858325313,1.858429975,1.858471787,0.285512707,0.280382127,0.28054165,0.285512707,0.282630634,0.282630634
1.866648,1.858268588,1.85836526,1.858474849,1.8585373,0.285604852,0.280489186,0.280687592,0.285604852,0.28274009,0.28274009
1.899981,1.858138226,1.85823876,1.85834289,1.858462199,0.285459177,0.280315282,0.280624741,0.285459177,0.282551005,0.282551005
1.933314,1.85811985,1.858130369,1.858311997,1.858372584,0.285385408,0.280229794,0.280718218,0.285385408,0.282491084,0.282491084
1.966647,1.857977637,1.858104537,1.858248347,1.858367923,0.285236004,0.280006355,0.280607963,0.285236004,0.282317979,0.282317979
1.99998,1.858028903,1.858109064,1.858260598,1.858368989,0.285186203,0.280026329,0.280543514,0.285186203,0.282280961,0.282280961
2.033313,1.858055135,1.858111994,1.858194552,1.858290692,0.285189932,0.279984517,0.280503833,0.285189932,0.282261253,0.282261253
2.066646,1.857616379,1.857750603,1.857868581,1.858031832,0.284874081,0.2796937,0.28034218,0.284874081,0.281954724,0.281954724
2.099979,1.857925306,1.858089889,1.8581578,1.858261397,0.285187002,0.280045237,0.280758964,0.285187002,0.282313718,0.282313718
2.133312,1.85791745,1.858066587,1.85820081,1.858344754,0.285400321,0.280215147,0.280926477,0.285400321,0.282456729,0.282456729
2.166645,1.857759125,1.857858993,1.857991486,1.858111461,0.285356912,0.280142975,0.280968022,0.285356912,0.282447675,0.282447675
2.199978,1.85773489,1.857829432,1.858030235,1.858065921,0.285328682,0.280112615,0.28104339,0.285328682,0.282361122,0.282361122
2.233311,1.857808793,1.857939154,1.858049409,1.85813463,0.285650392,0.280412487,0.281419961,0.285650392,0.2827068,0.2827068
2.266644,1.857698405,1.857857395,1.858003337,1.858102539,0.285824829,0.28054671,0.281507312,0.285824829,0.282771781,0.282771781
2.299977,1.85779348,1.857917982,1.858106667,1.858148878,0.286094341,0.280821016,0.28187403,0.286094341,0.283121987,0.283121987
2.33331,1.85786432,1.8580313,1.858098012,1.858326778,0.28646239,0.2811366,0.282370709,0.28646239,0.283460209,0.283460209
2.366643,1.857870978,1.857986026,1.858098944,1.858209998,0.286519382,0.28122848,0.282398406,0.286519382,0.28356061,0.28356061
2.399976,1.858060595,1.858201742,1.858293888,1.858374315,0.286908203,0.281541667,0.282803739,0.286908203,0.283867672,0.283867672
2.433309,1.858188293,1.858359934,1.858460202,1.858551282,0.28734869,0.282053527,0.283396026,0.28734869,0.284346775,0.284346775
2.466642,1.858223047,1.858317723,1.858490562,1.858544092,0.287460276,0.282130759,0.283410407,0.287460276,0.284426137,0.284426137
2.499975,1.858167787,1.858233434,1.858350879,1.85845674,0.287723663,0.282377367,0.283604552,0.287723663,0.284745716,0.284745716
2.533308,1.858112926,1.858289626,1.8583859,1.858591096,0.288075999,0.282639156,0.283644499,0.288075999,0.284986732,0.284986732
2.566641,1.858442359,1.858633574,1.8587907,1.858799622,0.288556966,0.283153146,0.284095372,0.288556966,0.285462906,0.285462906
2.599974,1.858648754,1.858820394,1.858941169,1.859053821,0.289007307,0.283578187,0.284233857,0.289007307,0.285963314,0.285963314
2.633307,1.858965803,1.859126392,1.859139441,1.859277659,0.289349257,0.283918272,0.284483129,0.289349257,0.286208324,0.286208324
2.66664,1.859268871,1.859367141,1.859537184,1.859659557,0.289834751,0.28444185,0.284914827,0.289834751,0.286748147,0.286748147
2.699973,1.859374465,1.859551432,1.859679264,1.859715217,0.290156727,0.284752907,0.285333476,0.290156727,0.287067993,0.287067993
2.733306,1.8595003,1.85967234,1.859752368,1.859906432,0.290487225,0.285047453,0.285579286,0.290487225,0.28740435,0.28740435
2.766639,1.859707627,1.859808161,1.859932531,1.860065422,0.290715991,0.28525731,0.286045073,0.290715991,0.287625392,0.287625392
2.799972,1.859808161,1.860007365,1.860056234,1.860126675,0.290935968,0.285546529,0.286263985,0.290935968,0.287856289,0.287856289
2.833305,1.859980467,1.860112028,1.860295253,1.860358903,0.291075518,0.285566769,0.286434161,0.291075518,0.287916476,0.287916476
2.866638,1.860189792,1.860370221,1.860528413,1.860595391,0.291412141,0.285883685,0.28675081,0.291412141,0.288211022,0.288211022
2.899971,1.860426813,1.860627616,1.860708043,1.860827619,0.291452355,0.285870636,0.286867989,0.291452355,0.28826828,0.28826828
2.933304,1.86066197,1.860896861,1.861010046,1.861095799,0.291583915,0.286096205,0.287054411,0.291583915,0.28844538,0.28844538
2.966637,1.860767698,1.860960644,1.861070766,1.861152791,0.291476856,0.285967308,0.287017126,0.291476856,0.288341783,0.288341783
2.99997,1.860900323,1.861143603,1.861296335,1.861331356,0.291434512,0.28585732,0.286927644,0.291434512,0.288318613,0.288318613
3.033303,1.861245868,1.861375564,1.861501798,1.861516446,0.291419598,0.28584214,0.286956406,0.291419598,0.288261888,0.288261888
3.066636,1.861406058,1.861603132,1.861798208,1.861788887,0.291416669,0.285866375,0.287114598,0.291416669,0.288295444,0.288295444
3.099969,1.861720311,1.8618801,1.862104338,1.862124578,0.291482182,0.285936149,0.28721207,0.291482182,0.288314885,0.288314885
3.133302,1.861609923,1.861803268,1.861962925,1.862029237,0.290958605,0.285410974,0.286650143,0.290958605,0.287819803,0.287819803
3.166635,1.86192564,1.862076109,1.862221784,1.862342824,0.290888297,0.285325487,0.286656002,0.290888297,0.287711679,0.287711679
3.199968,1.862163461,1.86235148,1.862516729,1.862644694,0.290758335,0.285134272,0.286495413,0.290758335,0.287601424,0.287601424
3.233301,1.862051342,1.862265193,1.862445623,1.862554812,0.290444348,0.28484159,0.286104994,0.290444348,0.287275453,0.287275453
3.266634,1.862020449,1.862242024,1.862436701,1.862438432,0.290106926,0.284453834,0.28593828,0.290106926,0.286924981,0.286924981
3.299967,1.862224447,1.862393824,1.862567063,1.862615665,0.28998522,0.284426137,0.285933486,0.28998522,0.286892757,0.286892757
3.3333,1.862305274,1.862495823,1.862735241,1.862782113,0.289960452,0.284348106,0.285849064,0.289960452,0.286788894,0.286788894
3.366633,1.862410336,1.862679049,1.862752152,1.862844697,0.289785216,0.284133722,0.285738543,0.289785216,0.286610462,0.286610462
3.399966,1.862534439,1.862805016,1.86291567,1.863014607,0.289629954,0.283941708,0.285422958,0.289629954,0.286428834,0.286428834
3.433299,1.86280688,1.862962942,1.863102225,1.863174397,0.289706387,0.284075399,0.285678622,0.289706387,0.286506598,0.286506598
3.466632,1.862937109,1.863102758,1.863416478,1.863375732,0.289951397,0.284302566,0.28584427,0.289951397,0.286743886,0.286743886
3.499965,1.863163744,1.863390645,1.863505694,1.863612886,0.290065913,0.284344112,0.285653055,0.290065913,0.286877843,0.286877843
3.533298,1.863269338,1.863408089,1.863553364,1.863685191,0.289922103,0.284220541,0.285498858,0.289922103,0.286766257,0.286766257
3.566631,1.862920864,1.863107551,1.863240709,1.863327928,0.289508247,0.283817871,0.28481629,0.289508247,0.286353467,0.286353467
3.599964,1.862913407,1.863098496,1.863265477,1.863416744,0.289380416,0.283690572,0.284530267,0.289380416,0.286144941,0.286144941
3.633297,1.863154157,1.863314745,1.863470007,1.863439914,0.289444065,0.283758216,0.284586992,0.289444065,0.286294611,0.286294611
3.66663,1.863108883,1.863297168,1.863470673,1.863512618,0.289486143,0.283588839,0.284190181,0.289239534,0.286101265,0.286101265
3.699963,1.863139642,1.863349899,1.863422337,1.863545109,0.289484812,0.283849296,0.284580867,0.289484812,0.286294877,0.286294877
3.733296,1.863155754,1.86331874,1.863442177,1.863513151,0.28940465,0.283758483,0.284544381,0.28940465,0.286254131,0.286254131
3.766629,1.863000758,1.863183052,1.863393708,1.863428728,0.289213169,0.283516668,0.284260222,0.289213169,0.286017109,0.286017109
3.799962,1.862884645,1.863046831,1.863228991,1.863240443,0.289100784,0.283406679,0.28440137,0.289100784,0.285959053,0.285959053
3.833295,1.862677318,1.862793032,1.862955085,1.862986644,0.288811298,0.283135836,0.283898565,0.288811298,0.28564986,0.28564986
3.866628,1.862675054,1.862852953,1.862908613,1.863038309,0.288815559,0.283162467,0.2838975,0.288815559,0.285646131,0.285646131
